Mascota,Edad,Tamaño,Sexo,Patron de pelaje,Color de pelaje 1,Color de pelaje 2,Color de pelaje 3,Largo de pelaje,Color de ojos,Largo de hocico,Largo de cola,Largo de orejas,Tipo de orejas
1,Adulto,Mediano,Macho,Bicolor,Blanco,Negro,,Corto,Marron oscuro,Corto,Corto,Cortas,Caidas
2,Cachorro,Mediano,Hembra,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Largo,Largo,Cortas,Caidas
3,Adulto,Mediano,Macho,Liso,Negro,,,Corto,Marron oscuro,Largo,Largo,Largas,Paradas
4,Adulto,Mediano,Hembra,Liso,Dorado,,,Corto,Marron oscuro,Largo,Largo,Cortas,Paradas
5,Cachorro,Chico,Hembra,Liso,Negro,,,Corto,Marron oscuro,Corto,Corto,Cortas,Caidas
6,Cachorro,Chico,Macho,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Corto,Corto,Cortas,Caidas
7,Adulto,Mediano,Macho,Liso,Negro,,,Corto,Marron oscuro,Corto,Largo,Cortas,Caidas
8,Adulto,Grande,Hembra,Bicolor,Negro,Marron,,Corto,Marron oscuro,Largo,Largo,Cortas,Caidas
9,Cachorro,Chico,Macho,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Corto,Corto,Cortas,Caidas
10,Adulto,Grande,Hembra,Liso,Dorado,,,Mediano,Marron oscuro,Largo,Largo,Largas,Caidas
11,Adulto,Mediano,Hembra,Liso,Blanco,,,Corto,Marron oscuro,Largo,Largo,Largas,Caidas
12,Adulto,Mediano,Macho,Liso,Negro,,,Largo,Marron oscuro,Corto,Corto,Largas,Caidas
13,Cachorro,Mediano,Macho,Bicolor,Negro,Marron,,Corto,Marron claro,Largo,Cortada,Cortas,Caidas
14,Cachorro,Mediano,Macho,Liso,Negro,,,Corto,Marron claro,Corto,Largo,Cortas,Caidas
15,Adulto,Chico,Macho,Bicolor,Negro,Marron,,Corto,Marron oscuro,Corto,Largo,Cortas,Caidas
16,Adulto,Chico,Macho,Bicolor,Negro,Marron,,Largo,Marron oscuro,Corto,Largo,Cortas,Paradas
17,Adulto,Chico,Macho,Liso,Marron,,,Corto,Marron oscuro,Corto,Corto,Largas,Caidas
