Mascota,Edad,Tamaño,Sexo,Patron de pelaje,Color de pelaje 1,Color de pelaje 2,Color de pelaje 3,Largo de pelaje,Color de ojos,Largo de hocico,Largo de cola,Largo de orejas,Tipo de orejas
1,Adulto,Mediano,Macho,Bicolor,Blanco,Negro,,Corto,Marron oscuro,Corto,Corta,Cortas,Caidas
2,Cachorro,Mediano,Hembra,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Largo,Largo,,Caidas
3,Adulto,Mediano,Macho,Liso,Negro,,,,Marron oscuro,Largo,,Largas,Paradas
4,Adulto,Mediano,Hembra,Liso,Dorado,,,,Marron oscuro,,Largo,Cortas,Paradas
5,,,,Liso,Negro,,,Corto,Marron oscuro,Corto,,Cortas,Caidas
6,Cachorro,Chico,,Bicolor,Blanco,Marron,,Corto,Marron oscuro,Corto,Corta,Cortas,Caidas
7,Adulto,Mediano,Macho,Liso,Negro,,,Corto,Marron oscuro,Corto,Largo,Cortas,
8,Adulto,Grande,Hembra,,Negro,Marron,,Corto,Marron oscuro,Largo,Largo,Cortas,Caidas
9,,Chico,Macho,Bicolor,Blanco,,,Corto,Marron oscuro,Corto,Corta,Cortas,Caidas
10,Adulto,Grande,Hembra,Liso,Dorado,,,Mediano,,Largo,Largo,Largas,Caidas
11,Adulto,Mediano,Hembra,Liso,Blanco,,,Corto,Marron oscuro,Largo,Largo,Largas,Caidas
12,Adulto,Mediano,Macho,Liso,Negro,,,,Marron oscuro,Corto,,Largas,
13,,Mediano,Macho,Bicolor,Negro,Marron,,,,Largo,Cortada,Cortas,Caidas
14,Cachorro,Mediano,Macho,Liso,Negro,,,Corto,,Corto,,Cortas,Caidas
15,,Chico,Macho,Bicolor,Negro,Marron,,Corto,,Corto,,Cortas,Caidas
16,,Chico,Macho,Bicolor,Negro,Marron,,,,Corto,Largo,Cortas,Paradas
17,Adulto,Chico,Macho,Liso,Marron,,,Corto,Marron oscuro,Corto,,Largas,
18,Cachorro,Mediano,Macho,Bicolor,Negro,Marron,,Mediano,Marron oscuro,Largo,Largo,Medianas,
19,Adulto,Mediano,Macho,Liso,Dorado,,,Largo,Marron oscuro,Largo,Largo,Medianas,Caidas
20,Adulto,Grande,Macho,Liso,Blanco,,,Corto,Marron oscuro,Largo,Largo,Cortas,Caidas
